pkgconf 2.1.1-1
plasma-activities 6.0.5-1
playerctl 2.4.1-3
podofo 0.10.3-1
polkit 124-2
polkit-qt6 0.200.0-1
polly 17.0.6-2
poppler 24.06.0-1
poppler-data 0.4.12-1
poppler-glib 24.06.0-1
poppler-qt6 24.06.0-1
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-3
protobuf 25.3-4
protobuf-c 1.5.0-2
psmisc 23.7-1
python 3.12.3-1
python-apsw 3.45.2.0-2
python-argcomplete 3.1.1-3
python-async-timeout 4.0.3-4
python-attrs 23.2.0-3
python-beautifulsoup4 4.12.3-2
python-brotli 1.1.0-2
python-brotlicffi 1.1.0.0-2
python-cairo 1.26.0-2
python-cffi 1.16.0-2
python-chardet 5.2.0-2
python-click 8.1.7-3
python-cryptography 42.0.6-1
python-css-parser 1.0.10-2
python-cssselect 1.2.0-6
python-dateutil 2.9.0-5
python-distro 1.9.0-2
python-dnspython 1:2.6.1-1
python-faust-cchardet 2.1.19-2
python-feedparser 6.0.11-2
python-gobject 3.48.2-1
python-greenlet 3.0.3-2
python-html2text 2020.1.16-10
python-html5-parser 0.4.12-2
python-html5lib 1.1-14
python-ifaddr 0.2.0-5
python-inflate64 1.0.0-2
python-jeepney 0.8.0-3
python-lxml 5.2.2-1
python-lxml-html-clean 0.1.1-2
python-markdown 3.6-3
python-mechanize 1:0.4.10-1
python-msgpack 1.0.5-2
python-multivolumefile 0.2.3-7
python-netifaces 0.11.0-5
python-packaging 24.0-1
python-pdftotext 2.2.2-6
python-pillow 10.3.0-2
python-pip 24.0-2
python-pipx 1.6.0-1
python-platformdirs 4.2.0-3
python-psutil 5.9.8-4
python-py7zr 0.21.0-2
python-pybcj 1.0.2-2
python-pychm 0.8.6-8
python-pycparser 2.22-2
python-pycryptodome 3.20.0-2
python-pycryptodomex 3.20.0-1
python-pygments 2.17.2-3
python-pynvim 0.5.0-3
python-pyppmd 1.1.0-2
python-pyqt6 6.7.0-3
python-pyqt6-sip 13.6.0-2
python-pyqt6-webengine 6.7.0-2
python-pyxdg 0.28-3
python-pyzstd 0.16.0-2
python-regex 2024.5.15-1
python-setproctitle 1.3.3-2
python-sgmllib3k 1.0.0-6
python-six 1.16.0-9
python-soupsieve 2.5-3
python-texttable 1.7.0-2
python-tqdm 4.66.4-1
python-typing_extensions 4.12.2-1
python-unrardll 0.1.7-2
python-userpath 1.9.2-2
python-webencodings 0.5.1-11
python-wheel 0.43.0-4
python-xxhash 3.4.1-3
python-zeroconf 0.63.0-2
python-zstandard 0.22.0-2
qca-qt6 2.3.8-3
qrencode 4.1.1-2
qt5-base 5.15.14+kde+r141-1
qt5-declarative 5.15.14+kde+r28-1
qt5-imageformats 5.15.14+kde+r7-1
qt5-location 5.15.14+kde+r7-1
qt5-remoteobjects 5.15.14-1
qt5-svg 5.15.14+kde+r5-1
qt5-translations 5.15.14-1
qt5-wayland 5.15.14+kde+r58-1
qt5-webchannel 5.15.14+kde+r3-1
qt5-webengine 5.15.17-4
qt5-x11extras 5.15.14-1
qt6-5compat 6.7.1-1
qt6-base 6.7.1-4
qt6-declarative 6.7.1-1
qt6-imageformats 6.7.1-1
qt6-multimedia 6.7.1-2
qt6-multimedia-ffmpeg 6.7.1-2
qt6-positioning 6.7.1-1
qt6-shadertools 6.7.1-1
qt6-speech 6.7.1-1
qt6-svg 6.7.1-1
qt6-translations 6.7.1-1
qt6-wayland 6.7.1-1
qt6-webchannel 6.7.1-1
qt6-webengine 6.7.1-1
ranger 1.9.3-11
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.010-1
redland 1:1.0.17-9
rhash 1.4.4-1
ripgrep 14.1.0-1
rtkit 0.13-2
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 3.3.0-1
rust 1:1.78.0-1
rygel 1:0.42.6-1
sane 1.3.1-1
sbc 2.0-1
sdbus-cpp 1.5.0-3
sdl2 2.30.3-1
sdl2_ttf 2.22.0-1
seatd 0.8.0-1
sed 4.9-3
semver 7.6.2-1
serd 0.32.2-1
shaderc 2024.0-1
shadow 4.15.1-2
shared-mime-info 2.4-1
simple-scan 46.0-1
slang 2.3.3-2
slurp 1.5.0-1
smartmontools 7.4-1
smbclient 4.20.1-2
snappy 1.1.10-1
snapshot 46.3-1
sndio 1.9.0-2
sof-firmware 2024.03-1
solid 6.3.0-1
sonnet 6.3.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.3-1
source-highlight 3.1.9-12
spandsp 0.0.6-5
spdlog 1.14.1-1
speech-dispatcher 0.11.5-2
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2024.1-1
sqlite 3.46.0-1
sratom 0.6.16-1
srt 1.5.3-1
startup-notification 0.12-8
stow 2.4.0-1
sudo 1.9.15.p5-1
sushi 46.0-1
svt-av1 2.1.0-1
svt-hevc 1.5.1-3
sway 1:1.9-3
swaybg 1.2.1-1
swayidle 1.8.0-1
swaylock 1.7.2-1
swig 4.2.1-3
syndication 6.3.0-1
syntax-highlighting 6.3.0-1
systemd 255.7-1
systemd-libs 255.7-1
systemd-sysvcompat 255.7-1
taglib 2.0.1-1
talloc 2.4.2-2
tar 1.35-2
tdb 1.4.10-3
tecla 46.0-1
tevent 1:0.16.1-3
texinfo 7.1-2
tmux 3.4-8
tomlplusplus 3.4.0-1
totem 43.0-2
totem-pl-parser 3.26.6-2
tpm2-tss 4.0.1-1
tracker3 3.7.3-2
tracker3-miners 3.7.3-2
transmission-cli 4.0.6-1
transmission-qt 4.0.6-1
tree 2.1.1-1
tree-sitter 0.22.6-1
tree-sitter-bash 0.21.0-2
tree-sitter-c 0.21.4-1
tree-sitter-git-debug 0.22.6.r9.g63680177-1
